"id","description","chart_template_id:id","name","sequence","amount","child_depend","type","account_collected_id:id","account_paid_id:id","type_tax_use","base_code_id:id","tax_code_id:id","ref_base_code_id:id","ref_tax_code_id:id","ref_base_sign","ref_tax_sign","price_include","base_sign","tax_sign"
"tax_22c","22c","l10n_it_chart_tmpl_personal","IVA al 22% (credito)",1,"0.22","False","percent","account_1501","account_1501","purchase","taxcode_ivci22","taxcode_ivc22","taxcode_ivci22","taxcode_ivc22","1","1","False","-1","-1"
"tax_22d","22d","l10n_it_chart_tmpl_personal","IVA al 22% (debito)",2,"0.22","False","percent","account_2501","account_2501","sale","taxcode_ivdi22","taxcode_ivd22","taxcode_ivdi22","taxcode_ivd22","-1","-1","False","1","1"
"tax_22d_inc","22d INC","l10n_it_chart_tmpl_personal","IVA al 22% (debito) INC",3,"0.22","False","percent","account_2501","account_2501","sale","taxcode_ivdi22","taxcode_ivd22","taxcode_ivdi22","taxcode_ivd22","-1","-1","True","1","1"
